야	ᄋ ᅣ
플레이	ᄑ ᅳ ᆯ ᄅ ᅦ ᄋ ᅵ
리스트	ᄅ ᅵ ᄉ ᅳ ᄐ ᅳ
있으면	ᄋ ᅵ ᄊ ᅳ ᄆ ᅧ ᆫ
알려	ᄋ ᅡ ᆯ ᄅ ᅧ
주면	ᄌ ᅮ ᄆ ᅧ ᆫ
스트림파이써	ᄉ ᅳ ᄐ ᅳ ᄅ ᅵ ᆷ ᄑ ᅡ ᄋ ᅵ ᄊ ᅥ
음악	ᄋ ᅳ ᄆ ᅡ ᆨ
스트림	ᄉ ᅳ ᄐ ᅳ ᄅ ᅵ ᆷ
서비스	ᄉ ᅥ ᄇ ᅵ ᄉ ᅳ
뭐로	ᄆ ᅯ ᄅ ᅩ
들어	ᄃ ᅳ ᄅ ᅥ
블루스트리밍	ᄇ ᅳ ᆯ ᄅ ᅮ ᄉ ᅳ ᄐ ᅳ ᄅ ᅵ ᄆ ᅵ ᆼ
파이	ᄑ ᅡ ᄋ ᅵ
계정	ᄀ ᅨ ᄌ ᅥ ᆼ
친추하면	ᄎ ᅵ ᆫ ᄎ ᅮ ᄒ ᅡ ᄆ ᅧ ᆫ
트는	ᄐ ᅳ ᄂ ᅳ ᆫ
셋	ᄉ ᅦ ᆮ
있어	ᄋ ᅵ ᄊ ᅥ
대박이다	ᄃ ᅢ ᄇ ᅡ ᄀ ᅵ ᄃ ᅡ
달엔	ᄃ ᅡ ᄅ ᅦ ᆫ
그걸로	ᄀ ᅳ ᄀ ᅥ ᆯ ᄅ ᅩ
옮겨야겠다	ᄋ ᅩ ᆷ ᄀ ᅧ ᄋ ᅣ ᄀ ᅦ ᆮ ᄄ ᅡ
버섯이	ᄇ ᅥ ᄉ ᅥ ᄉ ᅵ
귀여워	ᄀ ᅱ ᄋ ᅧ ᄋ ᅯ
이쁘다	ᄋ ᅵ ᄈ ᅳ ᄃ ᅡ
한번	ᄒ ᅡ ᆫ ᄇ ᅥ ᆫ
차	ᄎ ᅡ
봐도	ᄇ ᅪ ᄃ ᅩ
뭐지	ᄆ ᅯ ᄌ ᅵ
플라스틱	ᄑ ᅳ ᆯ ᄅ ᅡ ᄉ ᅳ ᄐ ᅵ ᆨ
아닌	ᄋ ᅡ ᄂ ᅵ ᆫ
돌이라고	ᄃ ᅩ ᄅ ᅵ ᄅ ᅡ ᄀ ᅩ
했는데	ᄒ ᅢ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
기억	ᄀ ᅵ ᄋ ᅥ ᆨ
안나	ᄋ ᅡ ᆫ ᄂ ᅡ
수공예로	ᄉ ᅮ ᄀ ᅩ ᆼ ᄋ ᅨ ᄅ ᅩ
만드는	ᄆ ᅡ ᆫ ᄃ ᅳ ᄂ ᅳ ᆫ
거랬어	ᄀ ᅥ ᄅ ᅢ ᄊ ᅥ
어디서	ᄋ ᅥ ᄃ ᅵ ᄉ ᅥ
사	ᄉ ᅡ
보드샵에서	ᄇ ᅩ ᄃ ᅳ ᄉ ᅣ ᄇ ᅦ ᄉ ᅥ
보드	ᄇ ᅩ ᄃ ᅳ
스케이트	ᄉ ᅳ ᄏ ᅦ ᄋ ᅵ ᄐ ᅳ
타는데	ᄐ ᅡ ᄂ ᅳ ᆫ ᄃ ᅦ
다루는	ᄃ ᅡ ᄅ ᅮ ᄂ ᅳ ᆫ
샵이	ᄉ ᅣ ᄇ ᅵ
귀엽다	ᄀ ᅱ ᄋ ᅧ ᆸ ᄄ ᅡ
사진	ᄉ ᅡ ᄌ ᅵ ᆫ
찍어서	ᄍ ᅵ ᄀ ᅥ ᄉ ᅥ
에스엔에스에	ᄋ ᅦ ᄉ ᅳ ᄋ ᅦ ᄂ ᅦ ᄉ ᅳ ᄋ ᅦ
올려도	ᄋ ᅩ ᆯ ᄅ ᅧ ᄃ ᅩ
그러던지	ᄀ ᅳ ᄅ ᅥ ᄃ ᅥ ᆫ ᄌ ᅵ
아이디	ᄋ ᅡ ᄋ ᅵ ᄃ ᅵ
알려줘봐	ᄋ ᅡ ᆯ ᄅ ᅧ ᄌ ᅯ ᄇ ᅪ
에스엔에스	ᄋ ᅦ ᄉ ᅳ ᄋ ᅦ ᄂ ᅦ ᄉ ᅳ
관종	ᄀ ᅪ ᆫ ᄌ ᅩ ᆼ
짓	ᄌ ᅵ ᆮ
혐오해서	ᄒ ᅧ ᄆ ᅩ ᄒ ᅢ ᄉ ᅥ
말을	ᄆ ᅡ ᄅ ᅳ ᆯ
하냐	ᄒ ᅡ ᄂ ᅣ
미안	ᄆ ᅵ ᄋ ᅡ ᆫ
직설적이라	ᄌ ᅵ ᆨ ᄊ ᅥ ᆯ ᄌ ᅥ ᄀ ᅵ ᄅ ᅡ
매너가	ᄆ ᅢ ᄂ ᅥ ᄀ ᅡ
없는	ᄋ ᅥ ᆷ ᄂ ᅳ ᆫ
거지	ᄀ ᅥ ᄌ ᅵ
달	ᄃ ᅡ ᆯ
짧다	ᄍ ᅡ ᆯ ᄄ ᅡ
학생들한테	ᄒ ᅡ ᆨ ᄊ ᅢ ᆼ ᄃ ᅳ ᆯ ᄒ ᅡ ᆫ ᄐ ᅦ
손	ᄉ ᅩ ᆫ
편지	ᄑ ᅧ ᆫ ᄌ ᅵ
써주신	ᄊ ᅥ ᄌ ᅮ ᄉ ᅵ ᆫ
감동이야	ᄀ ᅡ ᆷ ᄃ ᅩ ᆼ ᄋ ᅵ ᄋ ᅣ
태어나서	ᄐ ᅢ ᄋ ᅥ ᄂ ᅡ ᄉ ᅥ
처음	ᄎ ᅥ ᄋ ᅳ ᆷ
받아보는	ᄇ ᅡ ᄃ ᅡ ᄇ ᅩ ᄂ ᅳ ᆫ
손편지야	ᄉ ᅩ ᆫ ᄑ ᅧ ᆫ ᄌ ᅵ ᄋ ᅣ
앗	ᄋ ᅡ ᆮ
있지	ᄋ ᅵ ᆮ ᄍ ᅵ
선생님한테	ᄉ ᅥ ᆫ ᄉ ᅢ ᆼ ᄂ ᅵ ᆷ ᄒ ᅡ ᆫ ᄐ ᅦ
전화번호	ᄌ ᅥ ᆫ ᄒ ᅪ ᄇ ᅥ ᆫ ᄒ ᅩ
물어보면	ᄆ ᅮ ᄅ ᅥ ᄇ ᅩ ᄆ ᅧ ᆫ
실례겠지	ᄉ ᅵ ᆯ ᄅ ᅨ ᄀ ᅦ ᆮ ᄍ ᅵ
선생님이랑	ᄉ ᅥ ᆫ ᄉ ᅢ ᆼ ᄂ ᅵ ᄆ ᅵ ᄅ ᅡ ᆼ
계속	ᄀ ᅨ ᄉ ᅩ ᆨ
연락하고	ᄋ ᅧ ᆯ ᄅ ᅡ ᄏ ᅡ ᄀ ᅩ
같이	ᄀ ᅡ ᄎ ᅵ
물어볼까	ᄆ ᅮ ᄅ ᅥ ᄇ ᅩ ᆯ ᄁ ᅡ
근데	ᄀ ᅳ ᆫ ᄃ ᅦ
선생님은	ᄉ ᅥ ᆫ ᄉ ᅢ ᆼ ᄂ ᅵ ᄆ ᅳ ᆫ
돌아가시면	ᄃ ᅩ ᄅ ᅡ ᄀ ᅡ ᄉ ᅵ ᄆ ᅧ ᆫ
일로	ᄋ ᅵ ᆯ ᄅ ᅩ
바쁘실	ᄇ ᅡ ᄈ ᅳ ᄉ ᅵ ᆯ
같기도	ᄀ ᅡ ᆮ ᄁ ᅵ ᄃ ᅩ
한데	ᄒ ᅡ ᆫ ᄃ ᅦ
귀찮아	ᄀ ᅱ ᄎ ᅡ ᄂ ᅡ
하시겠지	ᄒ ᅡ ᄉ ᅵ ᄀ ᅦ ᆮ ᄍ ᅵ
그건	ᄀ ᅳ ᄀ ᅥ ᆫ
괜찮을	ᄀ ᅫ ᆫ ᄎ ᅡ ᄂ ᅳ ᆯ
있다가	ᄋ ᅵ ᆮ ᄄ ᅡ ᄀ ᅡ
급식	ᄀ ᅳ ᆸ ᄊ ᅵ ᆨ
먹을	ᄆ ᅥ ᄀ ᅳ ᆯ
샘	ᄉ ᅢ ᆷ
가보자	ᄀ ᅡ ᄇ ᅩ ᄌ ᅡ
오빠	ᄋ ᅩ ᄈ ᅡ
무무	ᄆ ᅮ ᄆ ᅮ
어딨어	ᄋ ᅥ ᄃ ᅵ ᄊ ᅥ
엄마	ᄋ ᅥ ᆷ ᄆ ᅡ
방에	ᄇ ᅡ ᆼ ᄋ ᅦ
없어	ᄋ ᅥ ᆸ ᄊ ᅥ
없으면	ᄋ ᅥ ᆸ ᄊ ᅳ ᄆ ᅧ ᆫ
찾아봐	ᄎ ᅡ ᄌ ᅡ ᄇ ᅪ
없어졌다고	ᄋ ᅥ ᆸ ᄊ ᅥ ᄌ ᅥ ᆮ ᄄ ᅡ ᄀ ᅩ
어쩌라고	ᄋ ᅥ ᄍ ᅥ ᄅ ᅡ ᄀ ᅩ
현관문	ᄒ ᅧ ᆫ ᄀ ᅪ ᆫ ᄆ ᅮ ᆫ
꽉	ᄁ ᅪ ᆨ
닫으라고	ᄃ ᅡ ᄃ ᅳ ᄅ ᅡ ᄀ ᅩ
했잖아	ᄒ ᅢ ᆮ ᄍ ᅡ ᄂ ᅡ
자꾸	ᄌ ᅡ ᄁ ᅮ
나가고	ᄂ ᅡ ᄀ ᅡ ᄀ ᅩ
싶어한다고	ᄉ ᅵ ᄑ ᅥ ᄒ ᅡ ᆫ ᄃ ᅡ ᄀ ᅩ
됐네	ᄃ ᅫ ᆫ ᄂ ᅦ
너가	ᄂ ᅥ ᄀ ᅡ
사람이야	ᄉ ᅡ ᄅ ᅡ ᄆ ᅵ ᄋ ᅣ
귀찮게	ᄀ ᅱ ᄎ ᅡ ᆫ ᄏ ᅦ
하지	ᄒ ᅡ ᄌ ᅵ
꺼져라	ᄁ ᅥ ᄌ ᅥ ᄅ ᅡ
무무한테	ᄆ ᅮ ᄆ ᅮ ᄒ ᅡ ᆫ ᄐ ᅦ
일	ᄋ ᅵ ᆯ
생기면	ᄉ ᅢ ᆼ ᄀ ᅵ ᄆ ᅧ ᆫ
죽을	ᄌ ᅮ ᄀ ᅳ ᆯ
나가라고	ᄂ ᅡ ᄀ ᅡ ᄅ ᅡ ᄀ ᅩ
저기	ᄌ ᅥ ᄀ ᅵ
고양이	ᄀ ᅩ ᄋ ᅣ ᆼ ᄋ ᅵ
잃어버리지	ᄋ ᅵ ᄅ ᅥ ᄇ ᅥ ᄅ ᅵ ᄌ ᅵ
않았어	ᄋ ᅡ ᄂ ᅡ ᄊ ᅥ
우리	ᄋ ᅮ ᄅ ᅵ
아니고	ᄋ ᅡ ᄂ ᅵ ᄀ ᅩ
고양이에	ᄀ ᅩ ᄋ ᅣ ᆼ ᄋ ᅵ ᄋ ᅦ
많아서	ᄆ ᅡ ᄂ ᅡ ᄉ ᅥ
알거든	ᄋ ᅡ ᆯ ᄀ ᅥ ᄃ ᅳ ᆫ
찾는	ᄎ ᅡ ᆫ ᄂ ᅳ ᆫ
도와주고	ᄃ ᅩ ᄋ ᅪ ᄌ ᅮ ᄀ ᅩ
싶은데	ᄉ ᅵ ᄑ ᅳ ᆫ ᄃ ᅦ
아직	ᄋ ᅡ ᄌ ᅵ ᆨ
며칠	ᄆ ᅧ ᄎ ᅵ ᆯ
됐지	ᄃ ᅫ ᆮ ᄍ ᅵ
어제	ᄋ ᅥ ᄌ ᅦ
없어졌어	ᄋ ᅥ ᆸ ᄊ ᅥ ᄌ ᅥ ᄊ ᅥ
어디	ᄋ ᅥ ᄃ ᅵ
찾아	ᄎ ᅡ ᄌ ᅡ
놀이터랑	ᄂ ᅩ ᄅ ᅵ ᄐ ᅥ ᄅ ᅡ ᆼ
아파트	ᄋ ᅡ ᄑ ᅡ ᄐ ᅳ
쓰레기	ᄊ ᅳ ᄅ ᅦ ᄀ ᅵ
버리는데	ᄇ ᅥ ᄅ ᅵ ᄂ ᅳ ᆫ ᄃ ᅦ
쪽	ᄍ ᅩ ᆨ
찾아봤는데	ᄎ ᅡ ᄌ ᅡ ᄇ ᅪ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
없더라고	ᄋ ᅥ ᆸ ᄄ ᅥ ᄅ ᅡ ᄀ ᅩ
나간	ᄂ ᅡ ᄀ ᅡ ᆫ
지	ᄌ ᅵ
얼마	ᄋ ᅥ ᆯ ᄆ ᅡ
되서	ᄃ ᅬ ᄉ ᅥ
근처에	ᄀ ᅳ ᆫ ᄎ ᅥ ᄋ ᅦ
확률이	ᄒ ᅪ ᆼ ᄂ ᅲ ᄅ ᅵ
아주	ᄋ ᅡ ᄌ ᅮ
높거든	ᄂ ᅩ ᆸ ᄁ ᅥ ᄃ ᅳ ᆫ
가까운데	ᄀ ᅡ ᄁ ᅡ ᄋ ᅮ ᆫ ᄃ ᅦ
나눠서	ᄂ ᅡ ᄂ ᅯ ᄉ ᅥ
찾아보자	ᄎ ᅡ ᄌ ᅡ ᄇ ᅩ ᄌ ᅡ
핸드폰	ᄒ ᅢ ᆫ ᄃ ᅳ ᄑ ᅩ ᆫ
번호	ᄇ ᅥ ᆫ ᄒ ᅩ
입력해주면	ᄋ ᅵ ᆷ ᄂ ᅧ ᄏ ᅢ ᄌ ᅮ ᄆ ᅧ ᆫ
전화할게	ᄌ ᅥ ᆫ ᄒ ᅪ ᄒ ᅡ ᆯ ᄀ ᅦ
은혜를	ᄋ ᅳ ᆫ ᄒ ᅨ ᄅ ᅳ ᆯ
갚지	ᄀ ᅡ ᆸ ᄍ ᅵ
집	ᄌ ᅵ ᆸ
준	ᄌ ᅮ ᆫ
것만으로도	ᄀ ᅥ ᆫ ᄆ ᅡ ᄂ ᅳ ᄅ ᅩ ᄃ ᅩ
기뻐	ᄀ ᅵ ᄈ ᅥ
무무가	ᄆ ᅮ ᄆ ᅮ ᄀ ᅡ
옥상에	ᄋ ᅩ ᆨ ᄊ ᅡ ᆼ ᄋ ᅦ
거란	ᄀ ᅥ ᄅ ᅡ ᆫ
인터넷에서	ᄋ ᅵ ᆫ ᄐ ᅥ ᄂ ᅦ ᄉ ᅦ ᄉ ᅥ
매일	ᄆ ᅢ ᄋ ᅵ ᆯ
찾아보는	ᄎ ᅡ ᄌ ᅡ ᄇ ᅩ ᄂ ᅳ ᆫ
블로그가	ᄇ ᅳ ᆯ ᄅ ᅩ ᄀ ᅳ ᄀ ᅡ
있거든	ᄋ ᅵ ᆮ ᄁ ᅥ ᄃ ᅳ ᆫ
블로그인데	ᄇ ᅳ ᆯ ᄅ ᅩ ᄀ ᅳ ᄋ ᅵ ᆫ ᄃ ᅦ
명탐정	ᄆ ᅧ ᆼ ᄐ ᅡ ᆷ ᄌ ᅥ ᆼ
냥냥이라고	ᄂ ᅣ ᆼ ᄂ ᅣ ᆼ ᄋ ᅵ ᄅ ᅡ ᄀ ᅩ
고양이들	ᄀ ᅩ ᄋ ᅣ ᆼ ᄋ ᅵ ᄃ ᅳ ᆯ
전문적으로	ᄌ ᅥ ᆫ ᄆ ᅮ ᆫ ᄌ ᅥ ᄀ ᅳ ᄅ ᅩ
찾으시는	ᄎ ᅡ ᄌ ᅳ ᄉ ᅵ ᄂ ᅳ ᆫ
분이	ᄇ ᅮ ᄂ ᅵ
그분이	ᄀ ᅳ ᄇ ᅮ ᄂ ᅵ
구출한	ᄀ ᅮ ᄎ ᅮ ᆯ ᄒ ᅡ ᆫ
고양이가	ᄀ ᅩ ᄋ ᅣ ᆼ ᄋ ᅵ ᄀ ᅡ
많거든	ᄆ ᅡ ᆫ ᄏ ᅥ ᄃ ᅳ ᆫ
매번	ᄆ ᅢ ᄇ ᅥ ᆫ
작업하실	ᄌ ᅡ ᄀ ᅥ ᄑ ᅡ ᄉ ᅵ ᆯ
마다	ᄆ ᅡ ᄃ ᅡ
일지를	ᄋ ᅵ ᆯ ᄌ ᅵ ᄅ ᅳ ᆯ
적어놓으시는데	ᄌ ᅥ ᄀ ᅥ ᄂ ᅩ ᄋ ᅳ ᄉ ᅵ ᄂ ᅳ ᆫ ᄃ ᅦ
거기에	ᄀ ᅥ ᄀ ᅵ ᄋ ᅦ
고급	ᄀ ᅩ ᄀ ᅳ ᆸ
정보가	ᄌ ᅥ ᆼ ᄇ ᅩ ᄀ ᅡ
있구나	ᄋ ᅵ ᆮ ᄁ ᅮ ᄂ ᅡ
졸업하고	ᄌ ᅩ ᄅ ᅥ ᄑ ᅡ ᄀ ᅩ
탐정	ᄐ ᅡ ᆷ ᄌ ᅥ ᆼ
생각이거든	ᄉ ᅢ ᆼ ᄀ ᅡ ᄀ ᅵ ᄀ ᅥ ᄃ ᅳ ᆫ
쩐다	ᄍ ᅥ ᆫ ᄄ ᅡ
찾은	ᄎ ᅡ ᄌ ᅳ ᆫ
첫	ᄎ ᅥ ᆮ
번째	ᄇ ᅥ ᆫ ᄍ ᅢ
고양이야	ᄀ ᅩ ᄋ ᅣ ᆼ ᄋ ᅵ ᄋ ᅣ
비니야	ᄇ ᅵ ᄂ ᅵ ᄋ ᅣ
오늘	ᄋ ᅩ ᄂ ᅳ ᆯ
머리	ᄆ ᅥ ᄅ ᅵ
짧게	ᄍ ᅡ ᆯ ᄁ ᅦ
자르려고	ᄌ ᅡ ᄅ ᅳ ᄅ ᅧ ᄀ ᅩ
하는데	ᄒ ᅡ ᄂ ᅳ ᆫ ᄃ ᅦ
어때	ᄋ ᅥ ᄄ ᅢ
어느	ᄋ ᅥ ᄂ ᅳ
정도	ᄌ ᅥ ᆼ ᄃ ᅩ
자르고	ᄌ ᅡ ᄅ ᅳ ᄀ ᅩ
귀	ᄀ ᅱ
밑에	ᄆ ᅵ ᄐ ᅦ
선	ᄉ ᅥ ᆫ
길이는	ᄀ ᅵ ᄅ ᅵ ᄂ ᅳ ᆫ
짧지	ᄍ ᅡ ᆯ ᄍ ᅵ
관리하기	ᄀ ᅪ ᆯ ᄅ ᅵ ᄒ ᅡ ᄀ ᅵ
아마	ᄋ ᅡ ᄆ ᅡ
어려울	ᄋ ᅥ ᄅ ᅧ ᄋ ᅮ ᆯ
파마를	ᄑ ᅡ ᄆ ᅡ ᄅ ᅳ ᆯ
할까	ᄒ ᅡ ᆯ ᄁ ᅡ
파마도	ᄑ ᅡ ᄆ ᅡ ᄃ ᅩ
좋지	ᄌ ᅩ ᄎ ᅵ
굵은	ᄀ ᅮ ᆯ ᄀ ᅳ ᆫ
웨이브	ᄋ ᅰ ᄋ ᅵ ᄇ ᅳ
넣으면	ᄂ ᅥ ᄋ ᅳ ᄆ ᅧ ᆫ
예쁠	ᄋ ᅨ ᄈ ᅳ ᆯ
비싸진	ᄇ ᅵ ᄊ ᅡ ᄌ ᅵ ᆫ
않겠지	ᄋ ᅡ ᆫ ᄏ ᅦ ᆮ ᄍ ᅵ
머리가	ᄆ ᅥ ᄅ ᅵ ᄀ ᅡ
길어서	ᄀ ᅵ ᄅ ᅥ ᄉ ᅥ
다니는	ᄃ ᅡ ᄂ ᅵ ᄂ ᅳ ᆫ
소개시켜	ᄉ ᅩ ᄀ ᅢ ᄉ ᅵ ᄏ ᅧ
줄까	ᄌ ᅮ ᆯ ᄁ ᅡ
나야	ᄂ ᅡ ᄋ ᅣ
고맙지	ᄀ ᅩ ᄆ ᅡ ᆸ ᄍ ᅵ
앞머리	ᄋ ᅡ ᆷ ᄆ ᅥ ᄅ ᅵ
자르러	ᄌ ᅡ ᄅ ᅳ ᄅ ᅥ
가야	ᄀ ᅡ ᄋ ᅣ
가자	ᄀ ᅡ ᄌ ᅡ
삼	ᄉ ᅡ ᆷ
년	ᄂ ᅧ ᆫ
서울대	ᄉ ᅥ ᄋ ᅮ ᆯ ᄃ ᅢ
법대에	ᄇ ᅥ ᆸ ᄄ ᅢ ᄋ ᅦ
간	ᄀ ᅡ ᆫ
선배	ᄉ ᅥ ᆫ ᄇ ᅢ
그럴	ᄀ ᅳ ᄅ ᅥ ᆯ
이름	ᄋ ᅵ ᄅ ᅳ ᆷ
들었는데	ᄃ ᅳ ᄅ ᅥ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
까먹었네	ᄁ ᅡ ᄆ ᅥ ᄀ ᅥ ᆫ ᄂ ᅦ
이우석	ᄋ ᅵ ᄋ ᅮ ᄉ ᅥ ᆨ
학원도	ᄒ ᅡ ᄀ ᅯ ᆫ ᄃ ᅩ
다녔다	ᄃ ᅡ ᄂ ᅧ ᆮ ᄄ ᅡ
던데	ᄃ ᅥ ᆫ ᄃ ᅦ
과외	ᄀ ᅪ ᄋ ᅬ
학원	ᄒ ᅡ ᄀ ᅯ ᆫ
없었겠지	ᄋ ᅥ ᆸ ᄊ ᅥ ᆮ ᄁ ᅦ ᆮ ᄍ ᅵ
만난	ᄆ ᅡ ᆫ ᄂ ᅡ ᆫ
적도	ᄌ ᅥ ᆨ ᄄ ᅩ
없잖아	ᄋ ᅥ ᆸ ᄍ ᅡ ᄂ ᅡ
맨날	ᄆ ᅢ ᆫ ᄂ ᅡ ᆯ
본다고	ᄇ ᅩ ᆫ ᄃ ᅡ ᄀ ᅩ
형이야	ᄒ ᅧ ᆼ ᄋ ᅵ ᄋ ᅣ
미친	ᄆ ᅵ ᄎ ᅵ ᆫ
이현석	ᄋ ᅵ ᄒ ᅧ ᆫ ᄉ ᅥ ᆨ
형제가	ᄒ ᅧ ᆼ ᄌ ᅦ ᄀ ᅡ
다를	ᄃ ᅡ ᄅ ᅳ ᆯ
수	ᄉ ᅮ
형	ᄒ ᅧ ᆼ
말한다	ᄆ ᅡ ᆯ ᄒ ᅡ ᆫ ᄃ ᅡ
아니지만	ᄋ ᅡ ᄂ ᅵ ᄌ ᅵ ᄆ ᅡ ᆫ
보잖아	ᄇ ᅩ ᄌ ᅡ ᄂ ᅡ
마음씨가	ᄆ ᅡ ᄋ ᅳ ᆷ ᄊ ᅵ ᄀ ᅡ
서울대야	ᄉ ᅥ ᄋ ᅮ ᆯ ᄃ ᅢ ᄋ ᅣ
순정	ᄉ ᅮ ᆫ ᄌ ᅥ ᆼ
만화만	ᄆ ᅡ ᆫ ᄒ ᅪ ᄆ ᅡ ᆫ
보냐	ᄇ ᅩ ᄂ ᅣ
유치해	ᄋ ᅲ ᄎ ᅵ ᄒ ᅢ
무식한	ᄆ ᅮ ᄉ ᅵ ᄏ ᅡ ᆫ
소리	ᄉ ᅩ ᄅ ᅵ
그만해	ᄀ ᅳ ᄆ ᅡ ᆫ ᄒ ᅢ
사랑싸움	ᄉ ᅡ ᄅ ᅡ ᆼ ᄊ ᅡ ᄋ ᅮ ᆷ
이성이	ᄋ ᅵ ᄉ ᅥ ᆼ ᄋ ᅵ
마비된	ᄆ ᅡ ᄇ ᅵ ᄃ ᅬ ᆫ
애들만	ᄋ ᅢ ᄃ ᅳ ᆯ ᄆ ᅡ ᆫ
나오는	ᄂ ᅡ ᄋ ᅩ ᄂ ᅳ ᆫ
만화는	ᄆ ᅡ ᆫ ᄒ ᅪ ᄂ ᅳ ᆫ
보는데	ᄇ ᅩ ᄂ ᅳ ᆫ ᄃ ᅦ
소년	ᄉ ᅩ ᄂ ᅧ ᆫ
만화	ᄆ ᅡ ᆫ ᄒ ᅪ
모험	ᄆ ᅩ ᄒ ᅥ ᆷ
떠나는	ᄄ ᅥ ᄂ ᅡ ᄂ ᅳ ᆫ
좋아해	ᄌ ᅩ ᄋ ᅡ ᄒ ᅢ
서로	ᄉ ᅥ ᄅ ᅩ
죽이고	ᄌ ᅮ ᄀ ᅵ ᄀ ᅩ
죽이는	ᄌ ᅮ ᄀ ᅵ ᄂ ᅳ ᆫ
그게	ᄀ ᅳ ᄀ ᅦ
핵심이	ᄒ ᅢ ᆨ ᄊ ᅵ ᄆ ᅵ
아니잖아	ᄋ ᅡ ᄂ ᅵ ᄌ ᅡ ᄂ ᅡ
순정만화의	ᄉ ᅮ ᆫ ᄌ ᅥ ᆼ ᄆ ᅡ ᆫ ᄒ ᅪ ᄋ ᅴ
핵심도	ᄒ ᅢ ᆨ ᄊ ᅵ ᆷ ᄃ ᅩ
아닌데	ᄋ ᅡ ᄂ ᅵ ᆫ ᄃ ᅦ
뭔데	ᄆ ᅯ ᆫ ᄃ ᅦ
청춘의	ᄎ ᅥ ᆼ ᄎ ᅮ ᄂ ᅴ
비애	ᄇ ᅵ ᄋ ᅢ
어우	ᄋ ᅥ ᄋ ᅮ
미쳤나	ᄆ ᅵ ᄎ ᅥ ᆫ ᄂ ᅡ
봐서	ᄇ ᅪ ᄉ ᅥ
뇌가	ᄂ ᅬ ᄀ ᅡ
절은	ᄌ ᅥ ᄅ ᅳ ᆫ
같어	ᄀ ᅡ ᄐ ᅥ
닭살	ᄃ ᅡ ᆨ ᄊ ᅡ ᆯ
돋아	ᄃ ᅩ ᄃ ᅡ
피비린내	ᄑ ᅵ ᄇ ᅵ ᄅ ᅵ ᆫ ᄂ ᅢ
가	ᄀ ᅡ
입	ᄋ ᅵ ᆸ
열	ᄋ ᅧ ᆯ
때마다	ᄄ ᅢ ᄆ ᅡ ᄃ ᅡ
전장의	ᄌ ᅥ ᆫ ᄌ ᅡ ᆼ ᄋ ᅴ
피비린내가	ᄑ ᅵ ᄇ ᅵ ᄅ ᅵ ᆫ ᄂ ᅢ ᄀ ᅡ
진동을	ᄌ ᅵ ᆫ ᄃ ᅩ ᆼ ᄋ ᅳ ᆯ
폭력배야	ᄑ ᅩ ᆼ ᄂ ᅧ ᆨ ᄈ ᅢ ᄋ ᅣ
쳐져	ᄎ ᅥ ᄌ ᅥ
아침부터	ᄋ ᅡ ᄎ ᅵ ᆷ ᄇ ᅮ ᄐ ᅥ
은빈이랑	ᄋ ᅳ ᆫ ᄇ ᅵ ᄂ ᅵ ᄅ ᅡ ᆼ
싸웠냐	ᄊ ᅡ ᄋ ᅯ ᆫ ᄂ ᅣ
누나한테	ᄂ ᅮ ᄂ ᅡ ᄒ ᅡ ᆫ ᄐ ᅦ
누나냐	ᄂ ᅮ ᄂ ᅡ ᄂ ᅣ
왜냐면	ᄋ ᅫ ᄂ ᅣ ᄆ ᅧ ᆫ
너의	ᄂ ᅥ ᄋ ᅴ
고민을	ᄀ ᅩ ᄆ ᅵ ᄂ ᅳ ᆯ
풀어줄	ᄑ ᅮ ᄅ ᅥ ᄌ ᅮ ᆯ
들었으니까	ᄃ ᅳ ᄅ ᅥ ᄊ ᅳ ᄂ ᅵ ᄁ ᅡ
어쩔	ᄋ ᅥ ᄍ ᅥ ᆯ
말해봐	ᄆ ᅡ ᆯ ᄒ ᅢ ᄇ ᅪ
들어라도	ᄃ ᅳ ᄅ ᅥ ᄅ ᅡ ᄃ ᅩ
요	ᄋ ᅭ
앞에	ᄋ ᅡ ᄑ ᅦ
생긴	ᄉ ᅢ ᆼ ᄀ ᅵ ᆫ
가게	ᄀ ᅡ ᄀ ᅦ
모드인가	ᄆ ᅩ ᄃ ᅳ ᄋ ᅵ ᆫ ᄀ ᅡ
구경	ᄀ ᅮ ᄀ ᅧ ᆼ
갔다가	ᄀ ᅡ ᆮ ᄄ ᅡ ᄀ ᅡ
강매	ᄀ ᅡ ᆼ ᄆ ᅢ
당했어	ᄃ ᅡ ᆼ ᄒ ᅢ ᄊ ᅥ
결제하고	ᄀ ᅧ ᆯ ᄌ ᅦ ᄒ ᅡ ᄀ ᅩ
집에	ᄌ ᅵ ᄇ ᅦ
가서	ᄀ ᅡ ᄉ ᅥ
입어보고	ᄋ ᅵ ᄇ ᅥ ᄇ ᅩ ᄀ ᅩ
마음에	ᄆ ᅡ ᄋ ᅳ ᄆ ᅦ
환불하러	ᄒ ᅪ ᆫ ᄇ ᅮ ᆯ ᄒ ᅡ ᄅ ᅥ
갔는데	ᄀ ᅡ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
절대	ᄌ ᅥ ᆯ ᄃ ᅢ
