씨	ᄊ ᅵ
그대로였습니다	ᄀ ᅳ ᄃ ᅢ ᄅ ᅩ ᄋ ᅧ ᆮ ᄊ ᅳ ᆷ ᄂ ᅵ ᄃ ᅡ
얘기를	ᄋ ᅤ ᄀ ᅵ ᄅ ᅳ ᆯ
들은	ᄃ ᅳ ᄅ ᅳ ᆫ
옆	ᄋ ᅧ ᆸ
신이	ᄉ ᅵ ᄂ ᅵ
말했습니다	ᄆ ᅡ ᆯ ᄒ ᅢ ᆮ ᄊ ᅳ ᆷ ᄂ ᅵ ᄃ ᅡ
이봐	ᄋ ᅵ ᄇ ᅪ
아낀다고	ᄋ ᅡ ᄁ ᅵ ᆫ ᄃ ᅡ ᄀ ᅩ
하나도	ᄒ ᅡ ᄂ ᅡ ᄃ ᅩ
쓰면	ᄊ ᅳ ᄆ ᅧ ᆫ
어떻게	ᄋ ᅥ ᄄ ᅥ ᄏ ᅦ
해	ᄒ ᅢ
물은	ᄆ ᅮ ᄅ ᅳ ᆫ
계속	ᄀ ᅨ ᄉ ᅩ ᆨ
샘솟는	ᄉ ᅢ ᆷ ᄉ ᅩ ᆫ ᄂ ᅳ ᆫ
거란	ᄀ ᅥ ᄅ ᅡ ᆫ
말이야	ᄆ ᅡ ᄅ ᅵ ᄋ ᅣ
솟아오르는	ᄉ ᅩ ᄉ ᅡ ᄋ ᅩ ᄅ ᅳ ᄂ ᅳ ᆫ
쓰지	ᄊ ᅳ ᄌ ᅵ
않으면	ᄋ ᅡ ᄂ ᅳ ᄆ ᅧ ᆫ
결국	ᄀ ᅧ ᆯ ᄀ ᅮ ᆨ
꼬이게	ᄁ ᅩ ᄋ ᅵ ᄀ ᅦ
썩을	ᄊ ᅥ ᄀ ᅳ ᆯ
밖에	ᄇ ᅡ ᄁ ᅦ
깨끗한	ᄁ ᅢ ᄁ ᅳ ᄐ ᅡ ᆫ
물로	ᄆ ᅮ ᆯ ᄅ ᅩ
채워지기	ᄎ ᅢ ᄋ ᅯ ᄌ ᅵ ᄀ ᅵ
위해선	ᄋ ᅱ ᄒ ᅢ ᄉ ᅥ ᆫ
퍼	ᄑ ᅥ
써야만	ᄊ ᅥ ᄋ ᅣ ᄆ ᅡ ᆫ
쓸수록	ᄊ ᅳ ᆯ ᄊ ᅮ ᄅ ᅩ ᆨ
새로운	ᄉ ᅢ ᄅ ᅩ ᄋ ᅮ ᆫ
양을	ᄋ ᅣ ᆼ ᄋ ᅳ ᆯ
채우기	ᄎ ᅢ ᄋ ᅮ ᄀ ᅵ
땅속에서	ᄄ ᅡ ᆼ ᄉ ᅩ ᄀ ᅦ ᄉ ᅥ
솟고	ᄉ ᅩ ᆮ ᄁ ᅩ
그렇게	ᄀ ᅳ ᄅ ᅥ ᄏ ᅦ
마실	ᄆ ᅡ ᄉ ᅵ ᆯ
거지	ᄀ ᅥ ᄌ ᅵ
깊이	ᄀ ᅵ ᄑ ᅵ
후회하며	ᄒ ᅮ ᄒ ᅬ ᄒ ᅡ ᄆ ᅧ
펴냈습니다	ᄑ ᅧ ᄂ ᅢ ᆮ ᄊ ᅳ ᆷ ᄂ ᅵ ᄃ ᅡ
일정한	ᄋ ᅵ ᆯ ᄌ ᅥ ᆼ ᄒ ᅡ ᆫ
속도로	ᄉ ᅩ ᆨ ᄄ ᅩ ᄅ ᅩ
퍼쓰지	ᄑ ᅥ ᄊ ᅳ ᄌ ᅵ
고이고	ᄀ ᅩ ᄋ ᅵ ᄀ ᅩ
오랜	ᄋ ᅩ ᄅ ᅢ ᆫ
시간이	ᄉ ᅵ ᄀ ᅡ ᄂ ᅵ
지나면	ᄌ ᅵ ᄂ ᅡ ᄆ ᅧ ᆫ
썩게	ᄊ ᅥ ᆨ ᄁ ᅦ
마련이다	ᄆ ᅡ ᄅ ᅧ ᄂ ᅵ ᄃ ᅡ
소비도	ᄉ ᅩ ᄇ ᅵ ᄃ ᅩ
이와	ᄋ ᅵ ᄋ ᅪ
같다	ᄀ ᅡ ᆮ ᄄ ᅡ
소비가	ᄉ ᅩ ᄇ ᅵ ᄀ ᅡ
생산은	ᄉ ᅢ ᆼ ᄉ ᅡ ᄂ ᅳ ᆫ
상품의	ᄉ ᅡ ᆼ ᄑ ᅮ ᄆ ᅴ
재고를	ᄌ ᅢ ᄀ ᅩ ᄅ ᅳ ᆯ
가져오고	ᄀ ᅡ ᄌ ᅥ ᄋ ᅩ ᄀ ᅩ
실업을	ᄉ ᅵ ᄅ ᅥ ᄇ ᅳ ᆯ
일으키며	ᄋ ᅵ ᄅ ᅳ ᄏ ᅵ ᄆ ᅧ
나아	ᄂ ᅡ ᄋ ᅡ
가서는	ᄀ ᅡ ᄉ ᅥ ᄂ ᅳ ᆫ
경기	ᄀ ᅧ ᆼ ᄀ ᅵ
침체와	ᄎ ᅵ ᆷ ᄎ ᅦ ᄋ ᅪ
공항을	ᄀ ᅩ ᆼ ᄒ ᅡ ᆼ ᄋ ᅳ ᆯ
가져온다	ᄀ ᅡ ᄌ ᅥ ᄋ ᅩ ᆫ ᄃ ᅡ
이를	ᄋ ᅵ ᄅ ᅳ ᆯ
역설이라고	ᄋ ᅧ ᆨ ᄊ ᅥ ᄅ ᅵ ᄅ ᅡ ᄀ ᅩ
부른다	ᄇ ᅮ ᄅ ᅳ ᆫ ᄃ ᅡ
절약이	ᄌ ᅥ ᄅ ᅣ ᄀ ᅵ
가난을	ᄀ ᅡ ᄂ ᅡ ᄂ ᅳ ᆯ
절약은	ᄌ ᅥ ᄅ ᅣ ᄀ ᅳ ᆫ
분명	ᄇ ᅮ ᆫ ᄆ ᅧ ᆼ
권장	ᄀ ᅯ ᆫ ᄌ ᅡ ᆼ
되어야	ᄃ ᅬ ᄋ ᅥ ᄋ ᅣ
할	ᄒ ᅡ ᆯ
미덕이지만	ᄆ ᅵ ᄃ ᅥ ᄀ ᅵ ᄌ ᅵ ᄆ ᅡ ᆫ
위축되어	ᄋ ᅱ ᄎ ᅮ ᆨ ᄄ ᅬ ᄋ ᅥ
경기침체와	ᄀ ᅧ ᆼ ᄀ ᅵ ᄎ ᅵ ᆷ ᄎ ᅦ ᄋ ᅪ
공황을	ᄀ ᅩ ᆼ ᄒ ᅪ ᆼ ᄋ ᅳ ᆯ
불러올	ᄇ ᅮ ᆯ ᄅ ᅥ ᄋ ᅩ ᆯ
경우	ᄀ ᅧ ᆼ ᄋ ᅮ
오히려	ᄋ ᅩ ᄒ ᅵ ᄅ ᅧ
악덕이	ᄋ ᅡ ᆨ ᄄ ᅥ ᄀ ᅵ
경제는	ᄀ ᅧ ᆼ ᄌ ᅦ ᄂ ᅳ ᆫ
생산과	ᄉ ᅢ ᆼ ᄉ ᅡ ᆫ ᄀ ᅪ
적절히	ᄌ ᅥ ᆨ ᄍ ᅥ ᆯ ᄒ ᅵ
균형을	ᄀ ᅲ ᆫ ᄒ ᅧ ᆼ ᄋ ᅳ ᆯ
이룰	ᄋ ᅵ ᄅ ᅮ ᆯ
때	ᄄ ᅢ
끊임없이	ᄁ ᅳ ᄂ ᅵ ᄆ ᅥ ᆸ ᄊ ᅵ
발전할	ᄇ ᅡ ᆯ ᄍ ᅥ ᆫ ᄒ ᅡ ᆯ
있	ᄋ ᅵ ᆮ
중요하지만	ᄌ ᅮ ᆼ ᄋ ᅭ ᄒ ᅡ ᄌ ᅵ ᄆ ᅡ ᆫ
적절하게	ᄌ ᅥ ᆨ ᄍ ᅥ ᆯ ᄒ ᅡ ᄀ ᅦ
사용될	ᄉ ᅡ ᄋ ᅭ ᆼ ᄃ ᅬ ᆯ
진정한	ᄌ ᅵ ᆫ ᄌ ᅥ ᆼ ᄒ ᅡ ᆫ
가치를	ᄀ ᅡ ᄎ ᅵ ᄅ ᅳ ᆯ
발휘한다	ᄇ ᅡ ᆯ ᄒ ᅱ ᄒ ᅡ ᆫ ᄃ ᅡ
경제발전이	ᄀ ᅧ ᆼ ᄌ ᅦ ᄇ ᅡ ᆯ ᄍ ᅥ ᄂ ᅵ
촉진되는	ᄎ ᅩ ᆨ ᄍ ᅵ ᆫ ᄃ ᅬ ᄂ ᅳ ᆫ
낭비와	ᄂ ᅡ ᆼ ᄇ ᅵ ᄋ ᅪ
사치는	ᄉ ᅡ ᄎ ᅵ ᄂ ᅳ ᆫ
없어져야	ᄋ ᅥ ᆸ ᄊ ᅥ ᄌ ᅥ ᄋ ᅣ
하겠지만	ᄒ ᅡ ᄀ ᅦ ᆮ ᄍ ᅵ ᄆ ᅡ ᆫ
필요한	ᄑ ᅵ ᄅ ᅭ ᄒ ᅡ ᆫ
소비마저	ᄉ ᅩ ᄇ ᅵ ᄆ ᅡ ᄌ ᅥ
억제하는	ᄋ ᅥ ᆨ ᄍ ᅦ ᄒ ᅡ ᄂ ᅳ ᆫ
경제를	ᄀ ᅧ ᆼ ᄌ ᅦ ᄅ ᅳ ᆯ
어렵고	ᄋ ᅥ ᄅ ᅧ ᆸ ᄁ ᅩ
곤란하게	ᄀ ᅩ ᆯ ᄅ ᅡ ᆫ ᄒ ᅡ ᄀ ᅦ
만든다	ᄆ ᅡ ᆫ ᄃ ᅳ ᆫ ᄃ ᅡ
모두가	ᄆ ᅩ ᄃ ᅮ ᄀ ᅡ
투철한	ᄐ ᅮ ᄎ ᅥ ᆯ ᄒ ᅡ ᆫ
오직	ᄋ ᅩ ᄌ ᅵ ᆨ
절약만을	ᄌ ᅥ ᄅ ᅣ ᆼ ᄆ ᅡ ᄂ ᅳ ᆯ
외치며	ᄋ ᅬ ᄎ ᅵ ᄆ ᅧ
행동한다면	ᄒ ᅢ ᆼ ᄃ ᅩ ᆼ ᄒ ᅡ ᆫ ᄃ ᅡ ᄆ ᅧ ᆫ
일이	ᄋ ᅵ ᄅ ᅵ
벌어질까	ᄇ ᅥ ᄅ ᅥ ᄌ ᅵ ᆯ ᄁ ᅡ
첫째	ᄎ ᅥ ᆮ ᄍ ᅢ
기업의	ᄀ ᅵ ᄋ ᅥ ᄇ ᅴ
재고품이	ᄌ ᅢ ᄀ ᅩ ᄑ ᅮ ᄆ ᅵ
둘씩	ᄃ ᅮ ᆯ ᄊ ᅵ ᆨ
창고를	ᄎ ᅡ ᆼ ᄀ ᅩ ᄅ ᅳ ᆯ
가득	ᄀ ᅡ ᄃ ᅳ ᆨ
메운다	ᄆ ᅦ ᄋ ᅮ ᆫ ᄃ ᅡ
둘째	ᄃ ᅮ ᆯ ᄍ ᅢ
회사	ᄒ ᅬ ᄉ ᅡ
사장님은	ᄉ ᅡ ᄌ ᅡ ᆼ ᄂ ᅵ ᄆ ᅳ ᆫ
근로자들의	ᄀ ᅳ ᆯ ᄅ ᅩ ᄌ ᅡ ᄃ ᅳ ᄅ ᅴ
임금을	ᄋ ᅵ ᆷ ᄀ ᅳ ᄆ ᅳ ᆯ
줄이거나	ᄌ ᅮ ᄅ ᅵ ᄀ ᅥ ᄂ ᅡ
또는	ᄄ ᅩ ᄂ ᅳ ᆫ
몇	ᄆ ᅧ ᆮ
명씩	ᄆ ᅧ ᆼ ᄊ ᅵ ᆨ
해고를	ᄒ ᅢ ᄀ ᅩ ᄅ ᅳ ᆯ
시킨다	ᄉ ᅵ ᄏ ᅵ ᆫ ᄃ ᅡ
셋째	ᄉ ᅦ ᆮ ᄍ ᅢ
가정에서는	ᄀ ᅡ ᄌ ᅥ ᆼ ᄋ ᅦ ᄉ ᅥ ᄂ ᅳ ᆫ
아버지	ᄋ ᅡ ᄇ ᅥ ᄌ ᅵ
어머니의	ᄋ ᅥ ᄆ ᅥ ᄂ ᅵ ᄋ ᅴ
월급이	ᄋ ᅯ ᆯ ᄀ ᅳ ᄇ ᅵ
줄거나	ᄌ ᅮ ᆯ ᄀ ᅥ ᄂ ᅡ
퇴직당하시기	ᄐ ᅬ ᄌ ᅵ ᆨ ᄄ ᅡ ᆼ ᄒ ᅡ ᄉ ᅵ ᄀ ᅵ
때문에	ᄄ ᅢ ᄆ ᅮ ᄂ ᅦ
줄어든다	ᄌ ᅮ ᄅ ᅥ ᄃ ᅳ ᆫ ᄃ ᅡ
반복	ᄇ ᅡ ᆫ ᄇ ᅩ ᆨ
창고에	ᄎ ᅡ ᆼ ᄀ ᅩ ᄋ ᅦ
재고품	ᄌ ᅢ ᄀ ᅩ ᄑ ᅮ ᆷ
쌓이고	ᄊ ᅡ ᄋ ᅵ ᄀ ᅩ
실업자는	ᄉ ᅵ ᄅ ᅥ ᆸ ᄍ ᅡ ᄂ ᅳ ᆫ
증가하고	ᄌ ᅳ ᆼ ᄀ ᅡ ᄒ ᅡ ᄀ ᅩ
가정	ᄀ ᅡ ᄌ ᅥ ᆼ
힘들어진다	ᄒ ᅵ ᆷ ᄃ ᅳ ᄅ ᅥ ᄌ ᅵ ᆫ ᄃ ᅡ
균형	ᄀ ᅲ ᆫ ᄒ ᅧ ᆼ
소비의식	ᄉ ᅩ ᄇ ᅵ ᄋ ᅴ ᄉ ᅵ ᆨ
필요해	ᄑ ᅵ ᄅ ᅭ ᄒ ᅢ
끝을	ᄁ ᅳ ᄉ ᅳ ᆯ
헤아릴	ᄒ ᅦ ᄋ ᅡ ᄅ ᅵ ᆯ
내수침체는	ᄂ ᅢ ᄉ ᅮ ᄎ ᅵ ᆷ ᄎ ᅦ ᄂ ᅳ ᆫ
경제에	ᄀ ᅧ ᆼ ᄌ ᅦ ᄋ ᅦ
짐이	ᄌ ᅵ ᄆ ᅵ
모든	ᄆ ᅩ ᄃ ᅳ ᆫ
지나친	ᄌ ᅵ ᄂ ᅡ ᄎ ᅵ ᆫ
알뜰	ᄋ ᅡ ᆯ ᄄ ᅳ ᆯ
생활로	ᄉ ᅢ ᆼ ᄒ ᅪ ᆯ ᄅ ᅩ
아끼기만	ᄋ ᅡ ᄁ ᅵ ᄀ ᅵ ᄆ ᅡ ᆫ
하고	ᄒ ᅡ ᄀ ᅩ
소비를	ᄉ ᅩ ᄇ ᅵ ᄅ ᅳ ᆯ
않게	ᄋ ᅡ ᆫ ᄏ ᅦ
될	ᄃ ᅬ ᆯ
경기침체가	ᄀ ᅧ ᆼ ᄀ ᅵ ᄎ ᅵ ᆷ ᄎ ᅦ ᄀ ᅡ
해소되기는	ᄒ ᅢ ᄉ ᅩ ᄃ ᅬ ᄀ ᅵ ᄂ ᅳ ᆫ
커녕	ᄏ ᅥ ᄂ ᅧ ᆼ
깊어질	ᄀ ᅵ ᄑ ᅥ ᄌ ᅵ ᆯ
소비의식을	ᄉ ᅩ ᄇ ᅵ ᄋ ᅴ ᄉ ᅵ ᄀ ᅳ ᆯ
갖는	ᄀ ᅡ ᆫ ᄂ ᅳ ᆫ
무엇보다	ᄆ ᅮ ᄋ ᅥ ᆮ ᄈ ᅩ ᄃ ᅡ
중요하다	ᄌ ᅮ ᆼ ᄋ ᅭ ᄒ ᅡ ᄃ ᅡ
삼	ᄉ ᅡ ᆷ
스스로	ᄉ ᅳ ᄉ ᅳ ᄅ ᅩ
돈의	ᄃ ᅩ ᄂ ᅴ
주인이	ᄌ ᅮ ᄋ ᅵ ᄂ ᅵ
되어라	ᄃ ᅬ ᄋ ᅥ ᄅ ᅡ
황금만능주의	ᄒ ᅪ ᆼ ᄀ ᅳ ᆷ ᄆ ᅡ ᆫ ᄂ ᅳ ᆼ ᄌ ᅮ ᄋ ᅴ
황금	ᄒ ᅪ ᆼ ᄀ ᅳ ᆷ
손가락	ᄉ ᅩ ᆫ ᄀ ᅡ ᄅ ᅡ ᆨ
고을에	ᄀ ᅩ ᄋ ᅳ ᄅ ᅦ
원님이	ᄋ ᅯ ᆫ ᄂ ᅵ ᄆ ᅵ
원님은	ᄋ ᅯ ᆫ ᄂ ᅵ ᄆ ᅳ ᆫ
금을	ᄀ ᅳ ᄆ ᅳ ᆯ
무척이나	ᄆ ᅮ ᄎ ᅥ ᄀ ᅵ ᄂ ᅡ
좋아했어요	ᄌ ᅩ ᄋ ᅡ ᄒ ᅢ ᄊ ᅥ ᄋ ᅭ
그는	ᄀ ᅳ ᄂ ᅳ ᆫ
하면	ᄒ ᅡ ᄆ ᅧ ᆫ
백성들을	ᄇ ᅢ ᆨ ᄊ ᅥ ᆼ ᄃ ᅳ ᄅ ᅳ ᆯ
다스리지	ᄃ ᅡ ᄉ ᅳ ᄅ ᅵ ᄌ ᅵ
보다는	ᄇ ᅩ ᄃ ᅡ ᄂ ᅳ ᆫ
가질	ᄀ ᅡ ᄌ ᅵ ᆯ
있을까	ᄋ ᅵ ᄊ ᅳ ᆯ ᄁ ᅡ
를	ᄅ ᅳ ᆯ
고민했어요	ᄀ ᅩ ᄆ ᅵ ᆫ ᄒ ᅢ ᄊ ᅥ ᄋ ᅭ
그래서	ᄀ ᅳ ᄅ ᅢ ᄉ ᅥ
잘못도	ᄌ ᅡ ᆯ ᄆ ᅩ ᆮ ᄄ ᅩ
백성들에게	ᄇ ᅢ ᆨ ᄊ ᅥ ᆼ ᄃ ᅳ ᄅ ᅦ ᄀ ᅦ
죄를	ᄌ ᅬ ᄅ ᅳ ᆯ
뒤집어	ᄃ ᅱ ᄌ ᅵ ᄇ ᅥ
씌우고	ᄊ ᅵ ᄋ ᅮ ᄀ ᅩ
벌금으로	ᄇ ᅥ ᆯ ᄀ ᅳ ᄆ ᅳ ᄅ ᅩ
빼앗기	ᄈ ᅢ ᄋ ᅡ ᆮ ᄁ ᅵ
일쑤였어요	ᄋ ᅵ ᆯ ᄊ ᅮ ᄋ ᅧ ᄊ ᅥ ᄋ ᅭ
소문은	ᄉ ᅩ ᄆ ᅮ ᄂ ᅳ ᆫ
퍼져서	ᄑ ᅥ ᄌ ᅥ ᄉ ᅥ
고을	ᄀ ᅩ ᄋ ᅳ ᆯ
산신령의	ᄉ ᅡ ᆫ ᄉ ᅵ ᆯ ᄅ ᅧ ᆼ ᄋ ᅴ
귀에까지	ᄀ ᅱ ᄋ ᅦ ᄁ ᅡ ᄌ ᅵ
들어가게	ᄃ ᅳ ᄅ ᅥ ᄀ ᅡ ᄀ ᅦ
되었어요	ᄃ ᅬ ᄋ ᅥ ᄊ ᅥ ᄋ ᅭ
원님을	ᄋ ᅯ ᆫ ᄂ ᅵ ᄆ ᅳ ᆯ
괘씸하게	ᄀ ᅫ ᄊ ᅵ ᆷ ᄒ ᅡ ᄀ ᅦ
여긴	ᄋ ᅧ ᄀ ᅵ ᆫ
산신령은	ᄉ ᅡ ᆫ ᄉ ᅵ ᆯ ᄅ ᅧ ᆼ ᄋ ᅳ ᆫ
그를	ᄀ ᅳ ᄅ ᅳ ᆯ
벌하기	ᄇ ᅥ ᆯ ᄒ ᅡ ᄀ ᅵ
위해	ᄋ ᅱ ᄒ ᅢ
꾀를	ᄁ ᅬ ᄅ ᅳ ᆯ
내었어요	ᄂ ᅢ ᄋ ᅥ ᄊ ᅥ ᄋ ᅭ
원님의	ᄋ ᅯ ᆫ ᄂ ᅵ ᄆ ᅴ
꿈에	ᄁ ᅮ ᄆ ᅦ
나타났어요	ᄂ ᅡ ᄐ ᅡ ᄂ ᅡ ᄊ ᅥ ᄋ ᅭ
내가	ᄂ ᅢ ᄀ ᅡ
니	ᄂ ᅵ
소원을	ᄉ ᅩ ᄋ ᅯ ᄂ ᅳ ᆯ
들어줄	ᄃ ᅳ ᄅ ᅥ ᄌ ᅮ ᆯ
테니	ᄐ ᅦ ᄂ ᅵ
말해	ᄆ ᅡ ᆯ ᄒ ᅢ
보거라	ᄇ ᅩ ᄀ ᅥ ᄅ ᅡ
당연히	ᄃ ᅡ ᆼ ᄋ ᅧ ᆫ ᄒ ᅵ
가지고	ᄀ ᅡ ᄌ ᅵ ᄀ ᅩ
싶다고	ᄉ ᅵ ᆸ ᄄ ᅡ ᄀ ᅩ
했어요	ᄒ ᅢ ᄊ ᅥ ᄋ ᅭ
그의	ᄀ ᅳ ᄋ ᅴ
손가락이	ᄉ ᅩ ᆫ ᄀ ᅡ ᄅ ᅡ ᄀ ᅵ
닿는	ᄃ ᅡ ᆫ ᄂ ᅳ ᆫ
모두	ᄆ ᅩ ᄃ ᅮ
금이	ᄀ ᅳ ᄆ ᅵ
되게	ᄃ ᅬ ᄀ ᅦ
주문을	ᄌ ᅮ ᄆ ᅮ ᄂ ᅳ ᆯ
걸어주었어요	ᄀ ᅥ ᄅ ᅥ ᄌ ᅮ ᄋ ᅥ ᄊ ᅥ ᄋ ᅭ
꿈에서	ᄁ ᅮ ᄆ ᅦ ᄉ ᅥ
깨는	ᄁ ᅢ ᄂ ᅳ ᆫ
이불을	ᄋ ᅵ ᄇ ᅮ ᄅ ᅳ ᆯ
만져보았어요	ᄆ ᅡ ᆫ ᄌ ᅥ ᄇ ᅩ ᄋ ᅡ ᄊ ᅥ ᄋ ᅭ
이불이	ᄋ ᅵ ᄇ ᅮ ᄅ ᅵ
금세	ᄀ ᅳ ᆷ ᄉ ᅦ
금으로	ᄀ ᅳ ᄆ ᅳ ᄅ ᅩ
변했죠	ᄇ ᅧ ᆫ ᄒ ᅢ ᆮ ᄍ ᅭ
소원이	ᄉ ᅩ ᄋ ᅯ ᄂ ᅵ
이루어진	ᄋ ᅵ ᄅ ᅮ ᄋ ᅥ ᄌ ᅵ ᆫ
너무나	ᄂ ᅥ ᄆ ᅮ ᄂ ᅡ
기뻤어요	ᄀ ᅵ ᄈ ᅥ ᄊ ᅥ ᄋ ᅭ
그러나	ᄀ ᅳ ᄅ ᅥ ᄂ ᅡ
문제가	ᄆ ᅮ ᆫ ᄌ ᅦ ᄀ ᅡ
생겼어요	ᄉ ᅢ ᆼ ᄀ ᅧ ᄊ ᅥ ᄋ ᅭ
음식을	ᄋ ᅳ ᆷ ᄉ ᅵ ᄀ ᅳ ᆯ
만지자	ᄆ ᅡ ᆫ ᄌ ᅵ ᄌ ᅡ
되어버려	ᄃ ᅬ ᄋ ᅥ ᄇ ᅥ ᄅ ᅧ
먹을	ᄆ ᅥ ᄀ ᅳ ᆯ
수가	ᄉ ᅮ ᄀ ᅡ
없었어요	ᄋ ᅥ ᆸ ᄊ ᅥ ᄊ ᅥ ᄋ ᅭ
허기짐을	ᄒ ᅥ ᄀ ᅵ ᄌ ᅵ ᄆ ᅳ ᆯ
견디지	ᄀ ᅧ ᆫ ᄃ ᅵ ᄌ ᅵ
못한	ᄆ ᅩ ᄐ ᅡ ᆫ
머슴에게	ᄆ ᅥ ᄉ ᅳ ᄆ ᅦ ᄀ ᅦ
먹여달라고	ᄆ ᅥ ᄀ ᅧ ᄃ ᅡ ᆯ ᄅ ᅡ ᄀ ᅩ
머슴이	ᄆ ᅥ ᄉ ᅳ ᄆ ᅵ
제대로	ᄌ ᅦ ᄃ ᅢ ᄅ ᅩ
먹여주지	ᄆ ᅥ ᄀ ᅧ ᄌ ᅮ ᄌ ᅵ
못하자	ᄆ ᅩ ᄐ ᅡ ᄌ ᅡ
답답한	ᄃ ᅡ ᆸ ᄄ ᅡ ᄑ ᅡ ᆫ
마음에	ᄆ ᅡ ᄋ ᅳ ᄆ ᅦ
팔을	ᄑ ᅡ ᄅ ᅳ ᆯ
잡았어요	ᄌ ᅡ ᄇ ᅡ ᄊ ᅥ ᄋ ᅭ
그러자	ᄀ ᅳ ᄅ ᅥ ᄌ ᅡ
머슴은	ᄆ ᅥ ᄉ ᅳ ᄆ ᅳ ᆫ
순식간에	ᄉ ᅮ ᆫ ᄉ ᅵ ᆨ ᄁ ᅡ ᄂ ᅦ
황금으로	ᄒ ᅪ ᆼ ᄀ ᅳ ᄆ ᅳ ᄅ ᅩ
변해버렸어요	ᄇ ᅧ ᆫ ᄒ ᅢ ᄇ ᅥ ᄅ ᅧ ᄊ ᅥ ᄋ ᅭ
본	ᄇ ᅩ ᆫ
노비들은	ᄂ ᅩ ᄇ ᅵ ᄃ ᅳ ᄅ ᅳ ᆫ
놀라	ᄂ ᅩ ᆯ ᄅ ᅡ
도망쳤어요	ᄃ ᅩ ᄆ ᅡ ᆼ ᄎ ᅥ ᄊ ᅥ ᄋ ᅭ
혼자	ᄒ ᅩ ᆫ ᄌ ᅡ
남게	ᄂ ᅡ ᆷ ᄁ ᅦ
되었고	ᄃ ᅬ ᄋ ᅥ ᆮ ᄁ ᅩ
없음을	ᄋ ᅥ ᆸ ᄊ ᅳ ᄆ ᅳ ᆯ
깨달으며	ᄁ ᅢ ᄃ ᅡ ᄅ ᅳ ᄆ ᅧ
후회했어요	ᄒ ᅮ ᄒ ᅬ ᄒ ᅢ ᄊ ᅥ ᄋ ᅭ
요즈음엔	ᄋ ᅭ ᄌ ᅳ ᄋ ᅳ ᄆ ᅦ ᆫ
돈이	ᄃ ᅩ ᄂ ᅵ
없으면	ᄋ ᅥ ᆸ ᄊ ᅳ ᄆ ᅧ ᆫ
목숨도	ᄆ ᅩ ᆨ ᄊ ᅮ ᆷ ᄃ ᅩ
가치	ᄀ ᅡ ᄎ ᅵ
없게	ᄋ ᅥ ᆸ ᄁ ᅦ
느끼는	ᄂ ᅳ ᄁ ᅵ ᄂ ᅳ ᆫ
사상이	ᄉ ᅡ ᄉ ᅡ ᆼ ᄋ ᅵ
팽배해	ᄑ ᅢ ᆼ ᄇ ᅢ ᄒ ᅢ
돈	ᄃ ᅩ ᆫ
생긴	ᄉ ᅢ ᆼ ᄀ ᅵ ᆫ
사회문제	ᄉ ᅡ ᄒ ᅬ ᄆ ᅮ ᆫ ᄌ ᅦ
돈에	ᄃ ᅩ ᄂ ᅦ
얽혀	ᄋ ᅥ ᆯ ᄏ ᅧ
황금만능주의에	ᄒ ᅪ ᆼ ᄀ ᅳ ᆷ ᄆ ᅡ ᆫ ᄂ ᅳ ᆼ ᄌ ᅮ ᄋ ᅴ ᄋ ᅦ
젖어	ᄌ ᅥ ᄌ ᅥ
사람은	ᄉ ᅡ ᄅ ᅡ ᄆ ᅳ ᆫ
어디서든	ᄋ ᅥ ᄃ ᅵ ᄉ ᅥ ᄃ ᅳ ᆫ
흔히	ᄒ ᅳ ᆫ ᄒ ᅵ
볼	ᄇ ᅩ ᆯ
돈만	ᄃ ᅩ ᆫ ᄆ ᅡ ᆫ
하나뿐인	ᄒ ᅡ ᄂ ᅡ ᄈ ᅮ ᄂ ᅵ ᆫ
목숨까지도	ᄆ ᅩ ᆨ ᄊ ᅮ ᆷ ᄁ ᅡ ᄌ ᅵ ᄃ ᅩ
내거는	ᄂ ᅢ ᄀ ᅥ ᄂ ᅳ ᆫ
있으니	ᄋ ᅵ ᄊ ᅳ ᄂ ᅵ
위력을	ᄋ ᅱ ᄅ ᅧ ᄀ ᅳ ᆯ
실감하게	ᄉ ᅵ ᆯ ᄀ ᅡ ᆷ ᄒ ᅡ ᄀ ᅦ
된다	ᄃ ᅬ ᆫ ᄃ ᅡ
또한	ᄄ ᅩ ᄒ ᅡ ᆫ
사람들을	ᄉ ᅡ ᄅ ᅡ ᆷ ᄃ ᅳ ᄅ ᅳ ᆯ
몸서리치게	ᄆ ᅩ ᆷ ᄉ ᅥ ᄅ ᅵ ᄎ ᅵ ᄀ ᅦ
부모를	ᄇ ᅮ ᄆ ᅩ ᄅ ᅳ ᆯ
살인한	ᄉ ᅡ ᄅ ᅵ ᆫ ᄒ ᅡ ᆫ
박한상	ᄇ ᅡ ᄏ ᅡ ᆫ ᄉ ᅡ ᆼ
사건	ᄉ ᅡ ᄀ ᅥ ᆫ
이른바	ᄋ ᅵ ᄅ ᅳ ᆫ ᄇ ᅡ
살인공장까지	ᄉ ᅡ ᄅ ᅵ ᆫ ᄀ ᅩ ᆼ ᄌ ᅡ ᆼ ᄁ ᅡ ᄌ ᅵ
차려놓고	ᄎ ᅡ ᄅ ᅧ ᄂ ᅩ ᄏ ᅩ
무자비하게	ᄆ ᅮ ᄌ ᅡ ᄇ ᅵ ᄒ ᅡ ᄀ ᅦ
